Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/16/2026,04/17/2026,STARBUCKS STORE #12847,Food & Drink,Sale,-6.45,
04/15/2026,04/16/2026,WHOLE FOODS MKT #10283,Groceries,Sale,-84.32,
04/15/2026,04/15/2026,SHELL OIL 57482931,Gas,Sale,-52.18,
04/14/2026,04/15/2026,NETFLIX.COM,Entertainment,Sale,-15.49,
04/14/2026,04/15/2026,AMZN Mktp US*2A8B4C1D2,Shopping,Sale,-42.87,
04/13/2026,04/14/2026,UBER TRIP HELP.UBER.COM,Travel,Sale,-18.65,
04/13/2026,04/14/2026,CHIPOTLE 0847,Food & Drink,Sale,-14.22,
04/12/2026,04/13/2026,SPOTIFY USA,Entertainment,Sale,-9.99,
04/12/2026,04/13/2026,STARBUCKS STORE #12847,Food & Drink,Sale,-5.85,
04/11/2026,04/12/2026,TRADER JOE'S #293,Groceries,Sale,-63.41,
04/10/2026,04/11/2026,AMZN Mktp US*7D3F1A9K2,Shopping,Sale,-29.50,
04/10/2026,04/11/2026,PAYROLL DEPOSIT ACME CO,,Payment,2840.00,
04/09/2026,04/10/2026,CHEVRON 003847,Gas,Sale,-48.30,
04/08/2026,04/09/2026,HULU PLUS,Entertainment,Sale,-12.99,
04/08/2026,04/09/2026,DOORDASH*PIZZA PLACE,Food & Drink,Sale,-31.44,
04/07/2026,04/08/2026,STARBUCKS STORE #91283,Food & Drink,Sale,-7.20,
04/07/2026,04/08/2026,TARGET T-0034,Shopping,Sale,-87.65,
04/06/2026,04/07/2026,DISNEY PLUS,Entertainment,Sale,-10.99,
04/06/2026,04/07/2026,WHOLE FOODS MKT #10283,Groceries,Sale,-112.08,
04/05/2026,04/06/2026,TOLL ROAD EAST,Travel,Sale,-3.75,
04/04/2026,04/05/2026,STARBUCKS STORE #12847,Food & Drink,Sale,-6.45,
04/03/2026,04/04/2026,LATE FEE CHARGE,Fees & Adjustments,Fee,-28.00,
04/02/2026,04/03/2026,AMZN Mktp US*9K2L3M4N5,Shopping,Sale,-54.99,
04/01/2026,04/02/2026,RENT PAYMENT - PROPERTY CO,Bills & Utilities,Sale,-1850.00,
03/31/2026,04/01/2026,VENMO TRANSFER FROM J SMITH,,Payment,125.00,
